seconds,small_cars,large_cars,car_flow
0,3,0,3
1,3,0,3
2,5,0,5
3,9,0,9
4,7,0,7
5,1,0,1
6,1,0,1
7,2,1,4
8,3,0,3
9,2,0,2
10,0,0,0
11,5,0,5
12,3,0,3
13,2,2,6
14,4,0,4
15,5,0,5
16,8,0,8
17,7,1,9
18,4,0,4
19,3,0,3
20,6,0,6
21,5,0,5
22,5,1,7
23,3,2,7
24,3,0,3
25,2,3,8
26,4,0,4
27,6,0,6
28,4,0,4
29,4,3,10
30,3,1,5
31,2,0,2
32,6,0,6
33,2,0,2
34,4,0,4
35,3,4,11
36,3,0,3
37,4,0,4
38,3,0,3
39,6,0,6
40,1,2,5
41,4,0,4
42,3,2,7
43,2,1,4
44,4,0,4
45,7,1,9
46,2,0,2
47,3,1,5
48,5,0,5
49,2,0,2
50,4,0,4
51,1,0,1
52,2,0,2
53,10,0,10
54,7,0,7
55,12,2,16
56,2,0,2
57,6,1,8
58,2,0,2
59,9,0,9
60,2,0,2
61,4,1,6
62,6,0,6
63,3,0,3
64,3,0,3
65,4,0,4
66,3,0,3
67,2,0,2
68,5,0,5
69,2,0,2
70,6,0,6
71,3,0,3
72,3,0,3
73,7,0,7
74,2,0,2
75,8,0,8
76,4,0,4
77,4,1,6
78,5,0,5
79,3,0,3
80,4,0,4
81,7,0,7
82,5,0,5
83,6,0,6
84,7,2,11
85,2,0,2
86,2,0,2
87,4,0,4
88,8,0,8
89,1,0,1
90,7,1,9
91,4,0,4
92,3,0,3
93,1,0,1
94,2,2,6
95,7,0,7
96,1,0,1
97,0,3,6
98,0,0,0
99,4,0,4
100,5,0,5
101,4,0,4
102,9,2,13
103,4,1,6
104,4,0,4
105,4,0,4
106,4,0,4
107,5,0,5
108,4,0,4
109,6,0,6
110,3,0,3
111,5,0,5
112,2,1,4
113,3,0,3
114,6,0,6
115,2,0,2
116,9,0,9
117,0,0,0
118,1,0,1
119,1,1,3
120,6,0,6
121,8,0,8
122,6,0,6
123,11,0,11
124,5,0,5
125,4,0,4
126,0,4,8
127,2,2,6
128,1,0,1
129,1,0,1
130,1,0,1
131,5,0,5
132,4,0,4
133,5,0,5
134,2,0,2
135,2,0,2
136,5,0,5
137,6,0,6
138,5,2,9
139,3,0,3
140,3,0,3
141,4,0,4
142,4,0,4
143,15,0,15
144,6,0,6
145,5,0,5
146,2,1,4
147,2,0,2
148,7,0,7
149,8,1,10
150,2,0,2
151,7,0,7
152,8,0,8
153,3,0,3
154,12,0,12
155,2,0,2
156,3,0,3
157,4,0,4
158,5,1,7
159,9,0,9
160,11,0,11
161,2,0,2
162,4,0,4
163,4,0,4
164,3,0,3
165,5,0,5
166,9,0,9
167,1,0,1
168,3,0,3
169,3,0,3
170,2,0,2
171,3,0,3
172,6,1,8
173,6,1,8
174,4,0,4
175,0,1,2
176,2,0,2
177,10,0,10
178,5,0,5
179,4,0,4
180,3,0,3
181,3,0,3
182,2,2,6
183,8,0,8
184,8,0,8
185,10,0,10
186,0,2,4
187,5,1,7
188,14,0,14
189,5,0,5
190,4,1,6
191,4,0,4
192,4,0,4
193,3,0,3
194,8,0,8
195,9,0,9
196,3,0,3
197,4,0,4
198,3,0,3
199,2,0,2
200,16,0,16
201,1,0,1
202,7,0,7
203,2,1,4
204,3,0,3
205,6,0,6
206,3,0,3
207,4,0,4
208,8,0,8
209,5,0,5
210,5,0,5
211,2,0,2
212,2,0,2
213,2,0,2
214,2,0,2
215,4,0,4
216,4,0,4
217,6,1,8
218,5,0,5
219,1,0,1
220,4,0,4
221,4,1,6
222,2,0,2
223,1,2,5
224,1,2,5
225,3,1,5
226,2,2,6
227,1,1,3
228,5,0,5
229,1,2,5
230,2,0,2
231,5,0,5
232,2,1,4
233,2,0,2
234,8,0,8
235,1,0,1
236,2,0,2
237,2,0,2
238,3,1,5
239,0,1,2
240,4,0,4
241,3,1,5
242,4,0,4
243,3,0,3
244,1,1,3
245,1,3,7
246,2,0,2
247,5,0,5
248,2,0,2
249,0,6,12
250,5,0,5
251,2,0,2
252,2,0,2
253,4,0,4
254,5,0,5
255,3,0,3
256,5,0,5
257,10,0,10
258,2,1,4
259,10,1,12
260,6,0,6
261,5,0,5
262,4,0,4
263,6,0,6
264,5,0,5
265,0,3,6
266,3,2,7
267,6,0,6
268,2,0,2
269,3,0,3
270,3,0,3
271,4,0,4
272,2,2,6
273,2,1,4
274,2,0,2
275,5,0,5
276,2,1,4
277,1,1,3
278,2,2,6
279,6,0,6
280,3,0,3
281,4,0,4
282,4,3,10
283,4,0,4
284,2,0,2
285,2,1,4
286,6,0,6
287,4,0,4
288,5,0,5
289,1,0,1
290,5,0,5
291,1,0,1
292,1,1,3
293,0,2,4
294,2,0,2
295,1,0,1
296,1,0,1
297,5,0,5
298,5,0,5
299,1,0,1
300,7,1,9
301,8,0,8
302,1,0,1
303,6,0,6
304,1,0,1
305,1,6,13
306,1,0,1
307,4,1,6
308,1,1,3
309,2,2,6
310,4,0,4
311,3,0,3
312,8,0,8
313,5,0,5
314,4,3,10
315,3,0,3
316,3,0,3
317,7,0,7
318,7,0,7
319,4,0,4
320,2,2,6
321,2,7,16
322,5,0,5
323,5,0,5
324,4,0,4
325,5,0,5
326,5,0,5
327,7,0,7
328,2,0,2
329,3,2,7
330,2,4,10
331,5,2,9
332,7,0,7
333,8,0,8
334,3,0,3
335,4,2,8
336,3,0,3
337,5,0,5
338,5,0,5
339,1,0,1
340,2,0,2
341,6,0,6
342,9,0,9
343,5,0,5
344,1,0,1
345,5,1,7
346,2,0,2
347,5,0,5
348,5,0,5
349,4,0,4
350,5,1,7
351,1,0,1
352,1,0,1
353,1,1,3
354,6,0,6
355,0,3,6
356,4,0,4
357,6,0,6
358,5,0,5
359,5,0,5
360,4,0,4
361,4,0,4
362,7,0,7
363,5,0,5
364,7,1,9
365,4,0,4
366,6,0,6
367,5,0,5
368,4,0,4
369,7,0,7
370,6,0,6
371,6,1,8
372,4,0,4
373,5,0,5
374,6,0,6
375,2,1,4
376,3,0,3
377,4,1,6
378,1,1,3
379,5,0,5
380,3,0,3
381,2,3,8
382,3,1,5
383,1,1,3
384,4,0,4
385,1,0,1
386,4,3,10
387,2,1,4
388,8,0,8
389,4,0,4
390,7,0,7
391,3,2,7
392,1,2,5
393,3,2,7
394,2,0,2
395,7,0,7
396,5,0,5
397,11,0,11
398,4,1,6
399,3,0,3
400,7,0,7
401,3,0,3
402,0,2,4
403,0,0,0
404,2,0,2
405,0,1,2
406,1,0,1
407,4,1,6
408,2,0,2
409,3,4,11
410,3,1,5
411,0,2,4
412,3,0,3
413,3,2,7
414,6,0,6
415,3,0,3
416,2,0,2
417,2,0,2
418,4,0,4
419,7,0,7
420,2,0,2
421,4,0,4
422,2,1,4
423,1,2,5
424,2,2,6
425,4,1,6
426,2,1,4
427,0,2,4
