seconds,car_flow,car_density,car_speed,avg_travel_time
0,3,0.188,15.95744680851064,9.023999999999997
1,3,0.174,17.24137931034483,8.351999999999999
2,5,0.156,32.05128205128205,4.492800000000001
3,9,0.1709999999999999,52.63157894736845,2.7359999999999984
4,7,0.208,33.65384615384615,4.278857142857143
5,1,0.187,5.347593582887701,26.928
6,1,0.17,5.88235294117647,24.480000000000004
7,4,0.082,48.78048780487805,2.952
8,3,0.124,24.193548387096776,5.952
9,2,0.124,16.129032258064516,8.928
11,5,0.136,36.76470588235294,3.9168000000000003
12,3,0.166,18.072289156626503,7.968000000000001
13,6,0.184,32.608695652173914,4.4159999999999995
14,4,0.204,19.607843137254903,7.344
15,5,0.199,25.125628140703515,5.731200000000001
16,8,0.183,43.71584699453552,3.2940000000000005
17,9,0.1989999999999999,45.22613065326635,3.1839999999999984
18,4,0.216,18.51851851851852,7.776
19,3,0.2429999999999999,12.345679012345684,11.663999999999996
20,6,0.24,25.0,5.76
21,5,0.192,26.041666666666668,5.529599999999999
22,7,0.183,38.25136612021858,3.764571428571429
23,7,0.125,56.0,2.5714285714285716
24,3,0.154,19.48051948051948,7.392
25,8,0.155,51.612903225806456,2.79
26,4,0.138,28.98550724637681,4.968000000000001
27,6,0.149,40.26845637583893,3.576
28,4,0.147,27.2108843537415,5.292
29,10,0.189,52.91005291005291,2.7216
30,5,0.174,28.73563218390805,5.0112
31,2,0.176,11.363636363636363,12.672
32,6,0.186,32.25806451612903,4.464
33,2,0.185,10.81081081081081,13.32
34,4,0.213,18.779342723004696,7.667999999999999
35,11,0.186,59.13978494623656,2.434909090909091
36,3,0.216,13.88888888888889,10.368
37,4,0.215,18.6046511627907,7.74
38,3,0.176,17.045454545454547,8.447999999999999
39,6,0.189,31.746031746031747,4.536
40,5,0.175,28.571428571428573,5.04
41,4,0.128,31.25,4.6080000000000005
42,7,0.16,43.75,3.291428571428572
43,4,0.191,20.94240837696335,6.876
44,4,0.208,19.23076923076923,7.488
45,9,0.179,50.27932960893855,2.864
46,2,0.179,11.1731843575419,12.888
47,5,0.208,24.03846153846154,5.9904
48,5,0.232,21.551724137931032,6.6816
49,2,0.184,10.869565217391305,13.248
50,4,0.22,18.181818181818183,7.919999999999999
51,1,0.18,5.555555555555555,25.92
52,2,0.174,11.49425287356322,12.528
53,10,0.22,45.45454545454545,3.168
54,7,0.246,28.45528455284553,5.0605714285714285
55,16,0.246,65.04065040650407,2.214
56,2,0.266,7.518796992481203,19.151999999999997
57,8,0.217,36.86635944700461,3.9059999999999997
58,2,0.2339999999999999,8.54700854700855,16.847999999999995
59,9,0.179,50.27932960893855,2.864
60,2,0.164,12.195121951219512,11.808
61,6,0.205,29.26829268292683,4.92
62,6,0.195,30.769230769230766,4.68
63,3,0.179,16.75977653631285,8.591999999999999
64,3,0.182,16.483516483516485,8.735999999999999
65,4,0.188,21.27659574468085,6.768
66,3,0.1619999999999999,18.51851851851853,7.775999999999995
67,2,0.18,11.11111111111111,12.96
68,5,0.158,31.645569620253163,4.550400000000001
69,2,0.1649999999999999,12.121212121212128,11.879999999999994
70,6,0.192,31.25,4.6080000000000005
71,3,0.162,18.51851851851852,7.776
72,3,0.173,17.341040462427745,8.304
73,7,0.173,40.46242774566474,3.558857142857143
74,2,0.152,13.157894736842106,10.944
75,8,0.172,46.51162790697675,3.096
76,4,0.183,21.85792349726776,6.588000000000001
77,6,0.197,30.45685279187817,4.728000000000001
78,5,0.1649999999999999,30.30303030303032,4.751999999999997
79,3,0.1379999999999999,21.739130434782624,6.623999999999996
80,4,0.179,22.3463687150838,6.444
81,7,0.202,34.65346534653465,4.155428571428572
82,5,0.214,23.36448598130841,6.163200000000001
83,6,0.183,32.78688524590164,4.392
84,11,0.205,53.65853658536586,2.683636363636363
85,2,0.196,10.20408163265306,14.112000000000002
86,2,0.187,10.6951871657754,13.464000000000002
87,4,0.138,28.98550724637681,4.968000000000001
88,8,0.149,53.69127516778524,2.6819999999999995
89,1,0.1639999999999999,6.09756097560976,23.61599999999999
90,9,0.186,48.38709677419355,2.976
91,4,0.196,20.40816326530612,7.056000000000001
92,3,0.215,13.953488372093023,10.32
93,1,0.1709999999999999,5.847953216374273,24.623999999999985
94,6,0.1659999999999999,36.14457831325304,3.983999999999997
95,7,0.1619999999999999,43.2098765432099,3.332571428571427
96,1,0.1699999999999999,5.882352941176474,24.479999999999986
97,6,0.243,24.69135802469136,5.832
99,4,0.1399999999999999,28.57142857142859,5.0399999999999965
100,5,0.156,32.05128205128205,4.492800000000001
101,4,0.224,17.857142857142858,8.064
102,13,0.212,61.320754716981135,2.3483076923076927
103,6,0.196,30.612244897959183,4.704000000000001
104,4,0.2299999999999999,17.391304347826093,8.279999999999998
105,4,0.211,18.95734597156398,7.595999999999999
106,4,0.127,31.496062992125985,4.572
107,5,0.196,25.51020408163265,5.644800000000001
108,4,0.208,19.23076923076923,7.488
109,6,0.2029999999999999,29.55665024630544,4.871999999999996
110,3,0.197,15.228426395939085,9.456000000000001
111,5,0.1689999999999999,29.585798816568065,4.867199999999997
112,4,0.163,24.539877300613497,5.868
113,3,0.177,16.949152542372882,8.495999999999999
114,6,0.206,29.12621359223301,4.944
115,2,0.194,10.309278350515465,13.968
116,9,0.221,40.723981900452486,3.5360000000000005
118,1,0.218,4.587155963302752,31.392
119,3,0.192,15.625,9.216000000000001
120,6,0.187,32.0855614973262,4.488
121,8,0.145,55.17241379310345,2.61
122,6,0.154,38.96103896103896,3.696
123,11,0.18,61.11111111111112,2.356363636363636
124,5,0.186,26.881720430107528,5.3568
125,4,0.099,40.4040404040404,3.5640000000000005
126,8,0.073,109.58904109589042,1.3139999999999998
127,6,0.108,55.55555555555556,2.592
128,1,0.1349999999999999,7.407407407407413,19.439999999999987
129,1,0.1169999999999999,8.547008547008554,16.84799999999999
130,1,0.118,8.474576271186441,16.991999999999997
131,5,0.173,28.901734104046245,4.9824
132,4,0.178,22.471910112359552,6.4079999999999995
133,5,0.221,22.62443438914028,6.364799999999997
134,2,0.198,10.1010101010101,14.256000000000002
135,2,0.197,10.152284263959393,14.183999999999997
136,5,0.198,25.252525252525253,5.7024
137,6,0.185,32.432432432432435,4.4399999999999995
138,9,0.2009999999999999,44.776119402985096,3.2159999999999984
139,3,0.215,13.953488372093023,10.32
140,3,0.16,18.75,7.680000000000001
141,4,0.178,22.471910112359552,6.4079999999999995
142,4,0.196,20.40816326530612,7.056000000000001
143,15,0.162,92.5925925925926,1.5552
144,6,0.213,28.169014084507044,5.112
145,5,0.229,21.83406113537118,6.5952
146,4,0.219,18.264840182648403,7.884
147,2,0.252,7.936507936507937,18.144
148,7,0.21,33.333333333333336,4.32
149,10,0.196,51.0204081632653,2.8224000000000005
150,2,0.206,9.708737864077673,14.831999999999997
151,7,0.224,31.25,4.6080000000000005
152,8,0.221,36.199095022624434,3.978
153,3,0.174,17.24137931034483,8.351999999999999
154,12,0.205,58.53658536585366,2.46
155,2,0.214,9.345794392523365,15.408
156,3,0.166,18.072289156626503,7.968000000000001
157,4,0.137,29.1970802919708,4.932
158,7,0.1679999999999999,41.66666666666669,3.4559999999999977
159,9,0.2,45.0,3.2
160,11,0.194,56.70103092783505,2.539636363636364
161,2,0.186,10.75268817204301,13.392000000000001
162,4,0.1689999999999999,23.66863905325445,6.083999999999997
163,4,0.176,22.72727272727273,6.335999999999999
164,3,0.171,17.543859649122805,8.208000000000002
165,5,0.175,28.571428571428573,5.04
166,9,0.157,57.32484076433121,2.512
167,1,0.203,4.926108374384236,29.232000000000003
168,3,0.213,14.084507042253522,10.224
169,3,0.1679999999999999,17.85714285714287,8.063999999999995
170,2,0.135,14.814814814814811,9.720000000000002
171,3,0.1709999999999999,17.543859649122815,8.207999999999995
172,8,0.1569999999999999,50.95541401273889,2.825999999999998
173,8,0.176,45.45454545454546,3.1679999999999997
174,4,0.168,23.809523809523807,6.048000000000001
175,2,0.181,11.049723756906078,13.032
176,2,0.189,10.582010582010582,13.607999999999999
177,10,0.176,56.81818181818182,2.5343999999999998
178,5,0.194,25.77319587628866,5.5872
179,4,0.178,22.471910112359552,6.4079999999999995
180,3,0.1669999999999999,17.964071856287436,8.015999999999995
181,3,0.109,27.52293577981652,5.231999999999998
182,6,0.092,65.21739130434783,2.2079999999999997
183,8,0.196,40.81632653061224,3.5280000000000005
184,8,0.176,45.45454545454546,3.1679999999999997
185,10,0.1639999999999999,60.9756097560976,2.361599999999999
186,4,0.21,19.047619047619047,7.56
187,7,0.192,36.458333333333336,3.9497142857142857
188,14,0.189,74.07407407407408,1.944
189,5,0.184,27.17391304347826,5.2992
190,6,0.215,27.906976744186046,5.16
191,4,0.169,23.66863905325444,6.084
192,4,0.195,20.51282051282051,7.020000000000001
193,3,0.165,18.18181818181818,7.920000000000001
194,8,0.2219999999999999,36.03603603603605,3.9959999999999987
195,9,0.172,52.32558139534884,2.752
196,3,0.179,16.75977653631285,8.591999999999999
197,4,0.177,22.598870056497177,6.372
198,3,0.184,16.304347826086957,8.831999999999999
199,2,0.1679999999999999,11.904761904761912,12.095999999999993
200,16,0.193,82.90155440414507,1.737
201,1,0.205,4.878048780487805,29.52
202,7,0.157,44.5859872611465,3.2297142857142855
203,4,0.21,19.047619047619047,7.56
204,3,0.154,19.48051948051948,7.392
205,6,0.177,33.898305084745765,4.247999999999999
206,3,0.179,16.75977653631285,8.591999999999999
207,4,0.2009999999999999,19.90049751243782,7.235999999999997
208,8,0.175,45.71428571428572,3.15
209,5,0.209,23.92344497607656,6.019199999999999
210,5,0.194,25.77319587628866,5.5872
211,2,0.22,9.090909090909092,15.839999999999998
212,2,0.219,9.1324200913242,15.768000000000004
213,2,0.175,11.428571428571429,12.600000000000001
214,2,0.216,9.25925925925926,15.552
215,4,0.165,24.24242424242424,5.940000000000001
216,4,0.185,21.62162162162162,6.66
217,8,0.189,42.32804232804233,3.4019999999999997
218,5,0.16,31.25,4.6080000000000005
219,1,0.1089999999999999,9.174311926605514,15.695999999999986
220,4,0.154,25.97402597402597,5.544000000000001
221,6,0.182,32.96703296703297,4.367999999999999
222,2,0.16,12.5,11.52
223,5,0.125,40.0,3.6
224,5,0.155,32.25806451612903,4.464
225,5,0.1659999999999999,30.120481927710863,4.7807999999999975
226,6,0.153,39.21568627450981,3.672
227,3,0.077,38.96103896103896,3.696
228,5,0.126,39.68253968253968,3.6288000000000005
229,5,0.1359999999999999,36.76470588235297,3.9167999999999967
230,2,0.15,13.333333333333334,10.8
231,5,0.159,31.446540880503143,4.5792
232,4,0.14,28.57142857142857,5.04
233,2,0.16,12.5,11.52
234,8,0.161,49.68944099378882,2.898
235,1,0.159,6.289308176100628,22.896000000000004
236,2,0.132,15.15151515151515,9.504000000000001
237,2,0.1089999999999999,18.348623853211027,7.847999999999993
238,5,0.151,33.11258278145696,4.3488
239,2,0.132,15.15151515151515,9.504000000000001
240,4,0.185,21.62162162162162,6.66
241,5,0.187,26.737967914438503,5.3856
242,4,0.19,21.05263157894737,6.84
243,3,0.187,16.0427807486631,8.976
244,3,0.206,14.563106796116504,9.888
245,7,0.142,49.29577464788733,2.9211428571428573
246,2,0.152,13.157894736842106,10.944
247,5,0.1689999999999999,29.585798816568065,4.867199999999997
248,2,0.2029999999999999,9.852216748768477,14.615999999999994
249,12,0.183,65.57377049180327,2.196
250,5,0.12,41.66666666666667,3.456
251,2,0.136,14.705882352941176,9.792000000000002
252,2,0.138,14.492753623188404,9.936000000000002
253,4,0.132,30.3030303030303,4.752000000000001
254,5,0.1589999999999999,31.446540880503168,4.579199999999997
255,3,0.1619999999999999,18.51851851851853,7.775999999999995
256,5,0.162,30.8641975308642,4.6655999999999995
257,10,0.2,50.0,2.88
258,4,0.177,22.598870056497177,6.372
259,12,0.193,62.17616580310881,2.3160000000000003
260,6,0.187,32.0855614973262,4.488
261,5,0.193,25.906735751295336,5.5584
262,4,0.19,21.05263157894737,6.84
263,6,0.1629999999999999,36.80981595092027,3.9119999999999977
264,5,0.176,28.40909090909091,5.0687999999999995
265,6,0.154,38.96103896103896,3.696
266,7,0.142,49.29577464788733,2.9211428571428573
267,6,0.177,33.898305084745765,4.247999999999999
268,2,0.145,13.793103448275865,10.439999999999998
269,3,0.142,21.126760563380284,6.815999999999999
270,3,0.1319999999999999,22.727272727272744,6.335999999999996
271,4,0.154,25.97402597402597,5.544000000000001
272,6,0.175,34.285714285714285,4.2
273,4,0.122,32.78688524590164,4.392
274,2,0.145,13.793103448275865,10.439999999999998
275,5,0.151,33.11258278145696,4.3488
276,4,0.174,22.98850574712644,6.264
277,3,0.1,30.0,4.8
278,6,0.084,71.42857142857143,2.016
279,6,0.1529999999999999,39.21568627450983,3.6719999999999975
280,3,0.188,15.95744680851064,9.023999999999997
281,4,0.174,22.98850574712644,6.264
282,10,0.179,55.865921787709496,2.5776
283,4,0.193,20.72538860103627,6.948
284,2,0.136,14.705882352941176,9.792000000000002
285,4,0.142,28.169014084507044,5.112
286,6,0.149,40.26845637583893,3.576
287,4,0.158,25.31645569620253,5.688
288,5,0.1679999999999999,29.76190476190478,4.8383999999999965
289,1,0.1559999999999999,6.410256410256415,22.463999999999984
290,5,0.184,27.17391304347826,5.2992
291,1,0.139,7.194244604316546,20.016000000000002
292,3,0.1,30.0,4.8
293,4,0.096,41.66666666666666,3.456000000000001
294,2,0.13,15.384615384615383,9.36
295,1,0.183,5.46448087431694,26.352000000000004
296,1,0.133,7.518796992481203,19.151999999999997
297,5,0.192,26.041666666666668,5.529599999999999
298,5,0.173,28.901734104046245,4.9824
299,1,0.1699999999999999,5.882352941176474,24.479999999999986
300,9,0.192,46.875,3.072
301,8,0.1709999999999999,46.78362573099418,3.077999999999998
302,1,0.148,6.756756756756757,21.312
303,6,0.1609999999999999,37.26708074534164,3.863999999999998
304,1,0.216,4.62962962962963,31.104
305,13,0.145,89.65517241379311,1.606153846153846
306,1,0.1389999999999999,7.194244604316552,20.015999999999988
307,6,0.112,53.57142857142857,2.688
308,3,0.11,27.27272727272728,5.2799999999999985
309,6,0.072,83.33333333333334,1.728
310,4,0.08,50.0,2.88
311,3,0.144,20.833333333333336,6.912
312,8,0.208,38.46153846153846,3.744
313,5,0.215,23.25581395348837,6.192000000000001
314,10,0.178,56.17977528089888,2.5632
315,3,0.151,19.86754966887417,7.248000000000001
316,3,0.199,15.07537688442211,9.552000000000001
317,7,0.225,31.11111111111111,4.628571428571429
318,7,0.21,33.333333333333336,4.32
319,4,0.178,22.471910112359552,6.4079999999999995
320,6,0.184,32.608695652173914,4.4159999999999995
